Hunt for the Wilderpeople|8.00
Cabin in the Woods|8.25
The Man From Earth|2.00
It's a Wonderful Life|7.00
Monos|6.00
The Intouchables|7.50
Koyaaniqatsi|4.00
Taipei Story|8.50
Holy Motors|8.75
Contagion|4.00
Rounders|7.00
Shoplifters|8.00
Playtime|6.50
Bad Genius|8.25
Brokeback Mountain|8.50
The Burial of Kojo|6.00
Ugetsu Monogatari|7.75
Ida|8.75
Hero|8.00
Rope|8.50
Full Metal Jacket|6.00
Aguirre, the Wrath of God|5.50
Furious 7|7.50
Midsommar|8.50
Trial on the Road|6.00
Rebels of the Neon God|8.00
Kin-dza-dza!|6.00
Portrait of a Lady on Fire|9.50
Hamilton|9.50
The Good, the Bad and the Ugly|8.00
Incendies|7.50
Repo Man|7.50
Werckmeister Harmonies|9.00
Red Cliff Pt 1|6.00
Shin Godzilla|7.50
Oldboy|8.75
Fruitvale Station|7.00
Woman in the Dunes|8.50
A Land Imagined|5.00
Pickpocket|5.50
Nocturnal Animals|8.50
The Queen|9.00
Birth|6.00
The Wages of Fear|8.00
Soul|8.50
The Devil Wears Prada|7.00
When Marnie Was There|6.00
Jalsaghar|8.50
Paprika	7.00